Date,City,temp_max,temp_min,precipitation,wind_speed
2018-07-05,Delhi,34.8,26.7,0.0,11.8
2018-07-06,Delhi,34.9,26.9,0.0,14.3
2018-07-07,Delhi,36.0,27.3,0.0,13.2
2018-07-08,Delhi,37.2,27.9,0.0,11.0
2018-07-09,Delhi,36.8,29.0,0.1,19.0
2018-07-10,Delhi,37.0,28.8,0.3,16.9
2018-07-11,Delhi,36.2,28.4,4.5,16.8
2018-07-12,Delhi,33.5,26.1,25.5,15.5
2018-07-13,Delhi,32.2,26.5,6.6,15.5
2018-07-14,Delhi,31.8,25.6,6.4,14.3
2018-07-15,Delhi,33.2,26.2,7.4,13.8
2018-07-16,Delhi,32.1,27.2,10.9,14.8
2018-07-17,Delhi,33.2,27.5,3.5,16.1
2018-07-18,Delhi,33.2,28.3,12.2,16.5
2018-07-19,Delhi,32.9,27.4,13.3,18.0
2018-07-20,Delhi,32.5,27.2,8.3,8.3
2018-07-21,Delhi,30.8,26.4,20.9,11.7
2018-07-22,Delhi,29.5,25.4,30.6,10.5
2018-07-23,Delhi,32.3,26.1,5.1,12.5
2018-07-24,Delhi,32.8,26.9,1.5,10.7
2018-07-25,Delhi,32.2,27.0,8.2,9.8
2018-07-26,Delhi,29.4,25.6,16.3,14.8
2018-07-27,Delhi,29.0,25.0,14.2,13.7
2018-07-28,Delhi,31.6,24.9,2.8,22.0
2018-07-29,Delhi,32.5,25.5,2.4,15.5
2018-07-30,Delhi,33.3,26.4,2.4,16.4
2018-07-31,Delhi,33.5,26.8,2.5,16.9
2018-08-01,Delhi,34.2,26.1,0.4,19.1
2018-08-02,Delhi,34.2,27.5,0.2,18.5
2018-08-03,Delhi,34.3,27.8,0.0,20.3
2018-08-04,Delhi,34.0,27.7,0.0,17.8
2018-08-05,Delhi,32.8,27.0,1.3,13.9
2018-08-06,Delhi,28.5,25.5,4.6,12.1
2018-08-07,Delhi,29.0,25.1,19.4,8.9
2018-08-08,Delhi,31.5,25.0,9.4,13.6
2018-08-09,Delhi,32.5,26.4,2.9,14.1
2018-08-10,Delhi,32.8,26.2,2.9,11.7
2018-08-11,Delhi,33.6,26.0,2.7,20.4
2018-08-12,Delhi,30.4,27.0,2.1,13.6
2018-08-13,Delhi,32.5,26.5,2.5,9.3
2018-08-14,Delhi,32.8,26.4,1.0,10.5
2018-08-15,Delhi,33.1,26.1,7.4,13.6
2018-08-16,Delhi,32.3,26.5,3.4,9.5
2018-08-17,Delhi,31.9,26.9,3.4,14.2
2018-08-18,Delhi,32.4,26.9,6.4,12.3
2018-08-19,Delhi,31.2,26.8,4.9,10.7
2018-08-20,Delhi,32.8,26.6,3.6,13.8
2018-08-21,Delhi,33.0,26.0,2.5,9.9
2018-08-22,Delhi,33.1,26.8,10.1,10.7
2018-08-23,Delhi,31.8,26.2,12.4,13.0
2018-08-24,Delhi,32.7,25.5,9.1,15.8
2018-08-25,Delhi,32.8,26.3,1.8,20.5
2018-08-26,Delhi,32.5,25.9,1.7,14.9
2018-08-27,Delhi,30.5,25.9,6.0,10.0
2018-08-28,Delhi,31.0,25.6,14.0,13.7
2018-08-29,Delhi,30.8,25.8,4.6,12.1
2018-08-30,Delhi,32.5,25.7,3.5,10.0
2018-08-31,Delhi,33.8,26.4,1.2,12.0
2018-09-01,Delhi,31.8,26.2,1.3,10.8
2018-09-02,Delhi,29.4,24.5,32.7,9.3
2018-09-03,Delhi,30.4,24.8,8.2,6.6
2018-09-04,Delhi,28.9,25.1,9.0,11.5
2018-09-05,Delhi,31.4,25.1,0.9,15.6
2018-09-06,Delhi,31.6,25.3,7.9,14.4
2018-09-07,Delhi,30.9,25.9,8.6,13.6
2018-09-08,Delhi,31.1,25.1,8.0,23.5
2018-09-09,Delhi,29.7,24.4,0.2,22.3
2018-09-10,Delhi,31.3,24.2,2.4,9.8
2018-09-11,Delhi,30.8,25.1,3.0,11.2
2018-09-12,Delhi,32.7,25.9,0.4,18.4
2018-09-13,Delhi,32.2,25.5,0.0,19.4
2018-09-14,Delhi,31.6,24.3,0.0,14.4
2018-09-15,Delhi,32.2,23.8,0.0,12.4
2018-09-16,Delhi,32.3,23.4,0.0,16.5
2018-09-17,Delhi,32.1,24.0,0.0,14.3
2018-09-18,Delhi,33.0,22.9,0.0,16.3
2018-09-19,Delhi,33.4,22.5,0.0,15.1
2018-09-20,Delhi,33.3,22.7,0.0,10.0
2018-09-21,Delhi,31.4,23.9,6.2,18.2
2018-09-22,Delhi,28.0,22.6,50.6,27.8
2018-09-23,Delhi,29.0,23.5,15.6,27.2
2018-09-24,Delhi,26.5,23.2,12.8,24.9
2018-09-25,Delhi,29.1,22.5,0.3,19.7
2018-09-26,Delhi,30.6,22.0,0.0,11.0
2018-09-27,Delhi,31.5,22.0,0.0,8.4
2018-09-28,Delhi,32.2,22.5,0.6,9.5
2018-09-29,Delhi,32.5,22.1,0.0,8.5
2018-09-30,Delhi,31.8,22.2,0.0,14.9
2018-10-01,Delhi,32.5,22.0,0.0,10.3
2018-10-02,Delhi,33.3,21.7,0.0,11.8
2018-10-03,Delhi,32.8,21.7,0.0,9.2
2018-10-04,Delhi,32.5,22.0,1.0,9.7
2018-10-05,Delhi,32.7,21.0,0.0,8.5
2018-10-06,Delhi,32.2,20.2,0.0,12.0
2018-10-07,Delhi,31.8,20.0,0.0,10.8
2018-10-08,Delhi,32.3,20.0,0.0,8.7
2018-10-09,Delhi,31.9,21.7,0.0,15.3
2018-10-10,Delhi,31.6,21.9,0.2,15.9
2018-10-11,Delhi,28.5,20.4,1.3,20.6
2018-10-12,Delhi,29.9,18.2,0.0,11.3
2018-10-13,Delhi,29.0,18.4,0.0,12.3
2018-10-14,Delhi,30.1,17.0,0.0,16.0
2018-10-15,Delhi,31.5,17.7,0.0,10.1
2018-10-16,Delhi,30.8,18.9,0.0,10.1
2018-10-17,Delhi,32.5,19.1,0.0,10.2
2018-10-18,Delhi,31.4,19.2,0.4,21.0
2018-10-19,Delhi,31.6,18.5,0.0,11.3
2018-10-20,Delhi,31.3,18.4,0.0,9.7
2018-10-21,Delhi,30.0,18.4,0.0,12.0
2018-10-22,Delhi,29.6,16.1,0.0,14.3
2018-10-23,Delhi,30.1,16.4,0.0,12.0
2018-10-24,Delhi,30.0,17.5,0.0,11.4
2018-10-25,Delhi,30.1,16.0,0.0,10.6
2018-10-26,Delhi,30.2,16.6,0.0,10.5
2018-10-27,Delhi,29.7,18.0,0.0,11.6
2018-10-28,Delhi,29.9,16.2,0.0,13.0
2018-10-29,Delhi,29.5,15.9,0.0,11.2
2018-10-30,Delhi,29.1,18.1,0.0,8.4
2018-10-31,Delhi,29.2,18.2,0.0,9.5
2018-11-01,Delhi,29.0,18.0,0.0,8.9
2018-11-02,Delhi,30.0,17.5,0.1,10.9
2018-11-03,Delhi,28.3,19.8,0.0,20.5
2018-11-04,Delhi,27.4,17.2,0.0,15.5
2018-11-05,Delhi,25.5,14.9,0.0,12.3
2018-11-06,Delhi,26.0,15.3,0.0,17.5
2018-11-07,Delhi,26.0,12.6,0.0,11.5
2018-11-08,Delhi,26.4,13.5,0.0,9.3
2018-11-09,Delhi,26.7,12.8,0.0,9.2
2018-11-10,Delhi,27.5,13.9,0.0,9.8
2018-11-11,Delhi,28.0,14.4,0.0,9.4
2018-11-12,Delhi,27.9,14.9,0.0,9.6
2018-11-13,Delhi,28.0,17.0,0.1,9.5
2018-11-14,Delhi,26.0,17.9,1.1,18.7
